site,start,n_steps,lr,init,langevin_noise,blur_schedule_fwhm_steps,reset_optimizer_at_blur_transition,final_loss,best_loss,final_rmsd_to_A,final_rmsd_to_B,best_rmsd_to_B,first_step_below_0_50,final_chi_radians
A_ARG129,0,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,4.136270348453763e-08,1.5717201762299737e-08,1.3430655002593994,5.8648016420193017e-05,3.74360206478741e-05,24,-1.1861565;-0.20299941;-2.20294;-0.23483379
A_ARG129,1,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,6.241454997280016e-08,8.441046972507138e-09,1.343108892440796,6.67577696731314e-05,2.5791432562982664e-05,92,-1.1861706;-0.20303573;-2.2029881;-0.23478846
A_ARG129,2,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,5.15523836952525e-08,6.148979547759836e-09,1.3430730104446411,5.9839963796548545e-05,2.1452877263072878e-05,10,-1.1861693;-0.20302498;-2.2029808;-0.23478396
A_ARG129,3,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,2.7269237534710555e-07,1.1210280703721764e-08,1.3431016206741333,0.00013188819866627455,2.8759890483343042e-05,25,-1.1861091;-0.20297879;-2.2029359;-0.23485479
A_ARG129,4,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,4.544696992070385e-07,2.931087550450684e-08,1.343119740486145,0.0001841015473473817,4.612580232787877e-05,64,-1.1865332;-0.20322047;-2.2023711;-0.23488672
A_ARG129,5,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.1498069763183594,0.0007205267902463675,1.1214836835861206,0.7740910649299622,0.5931950807571411,,-1.0886945;-0.93570036;0.17829952;0.67309982
A_ARG129,6,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.0254625237848813e-07,4.700301481364022e-09,1.3431400060653687,9.207556286128238e-05,1.948486351466272e-05,42,-1.1861174;-0.20307247;-2.2028885;-0.23489814
A_ARG129,7,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,3.226993499083619e-07,3.436417372881806e-08,1.3430157899856567,0.00015598440950270742,5.316355236573145e-05,61,-1.1862984;-0.20298588;-2.2030106;-0.23479433
A_ARG129,8,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,3.022380123951507e-09,3.022380123951507e-09,1.34309983253479,1.70284001796972e-05,1.70284001796972e-05,100,-1.1861436;-0.20300919;-2.2029781;-0.23479182
A_ARG129,9,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,2.875979099314918e-08,4.1575236586766096e-09,1.3430887460708618,4.314444595365785e-05,1.8694205209612846e-05,60,-1.1861308;-0.20300205;-2.2029557;-0.2348181
A_ARG129,10,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,2.3675440274928405e-08,8.364571257857278e-09,1.343063235282898,4.970849840901792e-05,2.3324439098360017e-05,37,-1.1861686;-0.20301393;-2.2029405;-0.23482162
A_ARG129,11,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,8.418037822366387e-09,8.242585280981984e-09,1.343076229095459,2.723304532992188e-05,2.521446549508255e-05,54,-1.1861815;-0.20300463;-2.2029605;-0.23480971
A_ARG129,12,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,2.824096689835187e-08,2.436867418964539e-08,1.3430670499801636,4.9713835323927924e-05,4.943985550198704e-05,12,-1.1861694;-0.20300138;-2.2029445;-0.23481646
A_ARG129,13,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.1497873067855835,0.0007194129284471273,1.121498942375183,0.7740913033485413,0.6149284243583679,,-1.088701;-0.9357267;0.17829625;0.67312944
A_ARG129,14,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.1205368366518087e-07,3.767187450876008e-09,1.3430731296539307,8.749787230044603e-05,1.7267700968659483e-05,41,-1.1861264;-0.20298795;-2.202939;-0.23482056
